Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\WA 3E SEQ 1 5x L4 0  170113 DFM PS.ZMX
Title: 1.5X 4.0mm Expander 50x37.5 to 75x56

Date : 29-Mar-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -24	  25	 -2.13776E+01	  2.21834E+01	  2.94767E+01	 -1.09795E+03	  1.14370E+03	 -1.43141E+03	  1.49105E+03	    30.370335%
 -23	 -25	 -2.05628E+01	 -2.21834E+01	  2.89894E+01	 -1.05221E+03	 -1.14370E+03	 -1.35582E+03	 -1.47371E+03	    28.854485%
 -23	 -24	 -2.05628E+01	 -2.13776E+01	  2.84655E+01	 -1.05221E+03	 -1.09795E+03	 -1.33921E+03	 -1.39771E+03	    27.289352%
 -23	 -23	 -2.05628E+01	 -2.05628E+01	  2.79469E+01	 -1.05221E+03	 -1.05221E+03	 -1.32333E+03	 -1.32350E+03	    25.775079%
 -23	 -22	 -2.05628E+01	 -1.97392E+01	  2.74345E+01	 -1.05221E+03	 -1.00646E+03	 -1.30821E+03	 -1.25140E+03	    24.333510%
 -23	 -21	 -2.05628E+01	 -1.89071E+01	  2.69296E+01	 -1.05221E+03	 -9.60710E+02	 -1.29391E+03	 -1.18140E+03	    22.971422%
 -23	 -20	 -2.05628E+01	 -1.80665E+01	  2.64332E+01	 -1.05221E+03	 -9.14962E+02	 -1.28049E+03	 -1.11347E+03	    21.695678%
 -23	 -19	 -2.05628E+01	 -1.72179E+01	  2.59466E+01	 -1.05221E+03	 -8.69214E+02	 -1.26793E+03	 -1.04742E+03	    20.501755%
 -23	 -18	 -2.05628E+01	 -1.63614E+01	  2.54712E+01	 -1.05221E+03	 -8.23466E+02	 -1.25622E+03	 -9.83129E+02	    19.389096%
 -23	 -17	 -2.05628E+01	 -1.54973E+01	  2.50082E+01	 -1.05221E+03	 -7.77718E+02	 -1.24535E+03	 -9.20477E+02	    18.356161%
 -23	 -16	 -2.05628E+01	 -1.46259E+01	  2.45593E+01	 -1.05221E+03	 -7.31970E+02	 -1.23530E+03	 -8.59338E+02	    17.400724%
 -23	 -15	 -2.05628E+01	 -1.37475E+01	  2.41258E+01	 -1.05221E+03	 -6.86222E+02	 -1.22603E+03	 -7.99586E+02	    16.520148%
 -23	 -14	 -2.05628E+01	 -1.28625E+01	  2.37094E+01	 -1.05221E+03	 -6.40474E+02	 -1.21752E+03	 -7.41102E+02	    15.711588%
 -23	 -13	 -2.05628E+01	 -1.19713E+01	  2.33117E+01	 -1.05221E+03	 -5.94725E+02	 -1.20974E+03	 -6.83769E+02	    14.972150%
 -23	 -12	 -2.05628E+01	 -1.10741E+01	  2.29343E+01	 -1.05221E+03	 -5.48977E+02	 -1.20266E+03	 -6.27476E+02	    14.299010%
 -23	 -11	 -2.05628E+01	 -1.01713E+01	  2.25790E+01	 -1.05221E+03	 -5.03229E+02	 -1.19625E+03	 -5.72119E+02	    13.689486%
 -23	 -10	 -2.05628E+01	 -9.26348E+00	  2.22474E+01	 -1.05221E+03	 -4.57481E+02	 -1.19048E+03	 -5.17599E+02	    13.141087%
 -23	  -9	 -2.05628E+01	 -8.35091E+00	  2.19412E+01	 -1.05221E+03	 -4.11733E+02	 -1.18533E+03	 -4.63824E+02	    12.651542%
 -23	  -8	 -2.05628E+01	 -7.43404E+00	  2.16619E+01	 -1.05221E+03	 -3.65985E+02	 -1.18077E+03	 -4.10704E+02	    12.218814%
 -23	  -7	 -2.05628E+01	 -6.51333E+00	  2.14113E+01	 -1.05221E+03	 -3.20237E+02	 -1.17680E+03	 -3.58156E+02	    11.841099%
 -23	  -6	 -2.05628E+01	 -5.58923E+00	  2.11908E+01	 -1.05221E+03	 -2.74489E+02	 -1.17339E+03	 -3.06101E+02	    11.516828%
 -23	  -5	 -2.05628E+01	 -4.66221E+00	  2.10016E+01	 -1.05221E+03	 -2.28741E+02	 -1.17052E+03	 -2.54462E+02	    11.244660%
 -23	  -4	 -2.05628E+01	 -3.73273E+00	  2.08451E+01	 -1.05221E+03	 -1.82992E+02	 -1.16820E+03	 -2.03165E+02	    11.023477%
 -23	  -3	 -2.05628E+01	 -2.80128E+00	  2.07222E+01	 -1.05221E+03	 -1.37244E+02	 -1.16640E+03	 -1.52139E+02	    10.852371%
 -23	  -2	 -2.05628E+01	 -1.86835E+00	  2.06339E+01	 -1.05221E+03	 -9.14962E+01	 -1.16512E+03	 -1.01314E+02	    10.730646%
 -23	  -1	 -2.05628E+01	 -9.34422E-01	  2.05806E+01	 -1.05221E+03	 -4.57481E+01	 -1.16435E+03	 -5.06239E+01	    10.657808%
 -23	   0	 -2.05628E+01	  0.00000E+00	  2.05628E+01	 -1.05221E+03	  0.00000E+00	 -1.16409E+03	  0.00000E+00	    10.633562%
 -23	   1	 -2.05628E+01	  9.34422E-01	  2.05806E+01	 -1.05221E+03	  4.57481E+01	 -1.16435E+03	  5.06239E+01	    10.657808%
 -23	   2	 -2.05628E+01	  1.86835E+00	  2.06339E+01	 -1.05221E+03	  9.14962E+01	 -1.16512E+03	  1.01314E+02	    10.730646%
 -23	   3	 -2.05628E+01	  2.80128E+00	  2.07222E+01	 -1.05221E+03	  1.37244E+02	 -1.16640E+03	  1.52139E+02	    10.852371%
 -23	   4	 -2.05628E+01	  3.73273E+00	  2.08451E+01	 -1.05221E+03	  1.82992E+02	 -1.16820E+03	  2.03165E+02	    11.023477%
 -23	   5	 -2.05628E+01	  4.66221E+00	  2.10016E+01	 -1.05221E+03	  2.28741E+02	 -1.17052E+03	  2.54462E+02	    11.244660%
 -23	   6	 -2.05628E+01	  5.58923E+00	  2.11908E+01	 -1.05221E+03	  2.74489E+02	 -1.17339E+03	  3.06101E+02	    11.516828%
 -23	   7	 -2.05628E+01	  6.51333E+00	  2.14113E+01	 -1.05221E+03	  3.20237E+02	 -1.17680E+03	  3.58156E+02	    11.841099%
 -23	   8	 -2.05628E+01	  7.43404E+00	  2.16619E+01	 -1.05221E+03	  3.65985E+02	 -1.18077E+03	  4.10704E+02	    12.218814%
 -23	   9	 -2.05628E+01	  8.35091E+00	  2.19412E+01	 -1.05221E+03	  4.11733E+02	 -1.18533E+03	  4.63824E+02	    12.651542%
 -23	  10	 -2.05628E+01	  9.26348E+00	  2.22474E+01	 -1.05221E+03	  4.57481E+02	 -1.19048E+03	  5.17599E+02	    13.141087%
 -23	  11	 -2.05628E+01	  1.01713E+01	  2.25790E+01	 -1.05221E+03	  5.03229E+02	 -1.19625E+03	  5.72119E+02	    13.689486%
 -23	  12	 -2.05628E+01	  1.10741E+01	  2.29343E+01	 -1.05221E+03	  5.48977E+02	 -1.20266E+03	  6.27476E+02	    14.299010%
 -23	  13	 -2.05628E+01	  1.19713E+01	  2.33117E+01	 -1.05221E+03	  5.94725E+02	 -1.20974E+03	  6.83769E+02	    14.972150%
 -23	  14	 -2.05628E+01	  1.28625E+01	  2.37094E+01	 -1.05221E+03	  6.40474E+02	 -1.21752E+03	  7.41102E+02	    15.711588%
 -23	  15	 -2.05628E+01	  1.37475E+01	  2.41258E+01	 -1.05221E+03	  6.86222E+02	 -1.22603E+03	  7.99586E+02	    16.520148%
 -23	  16	 -2.05628E+01	  1.46259E+01	  2.45593E+01	 -1.05221E+03	  7.31970E+02	 -1.23530E+03	  8.59338E+02	    17.400724%
 -23	  17	 -2.05628E+01	  1.54973E+01	  2.50082E+01	 -1.05221E+03	  7.77718E+02	 -1.24535E+03	  9.20477E+02	    18.356161%
 -23	  18	 -2.05628E+01	  1.63614E+01	  2.54712E+01	 -1.05221E+03	  8.23466E+02	 -1.25622E+03	  9.83129E+02	    19.389096%
 -23	  19	 -2.05628E+01	  1.72179E+01	  2.59466E+01	 -1.05221E+03	  8.69214E+02	 -1.26793E+03	  1.04742E+03	    20.501755%
 -23	  20	 -2.05628E+01	  1.80665E+01	  2.64332E+01	 -1.05221E+03	  9.14962E+02	 -1.28049E+03	  1.11347E+03	    21.695678%
 -23	  21	 -2.05628E+01	  1.89071E+01	  2.69296E+01	 -1.05221E+03	  9.60710E+02	 -1.29391E+03	  1.18140E+03	    22.971422%
 -23	  22	 -2.05628E+01	  1.97392E+01	  2.74345E+01	 -1.05221E+03	  1.00646E+03	 -1.30817E+03	  1.25122E+03	    24.322924%
 -23	  23	 -2.05628E+01	  2.05628E+01	  2.79469E+01	 -1.05221E+03	  1.05221E+03	 -1.32326E+03	  1.32308E+03	    25.751950%
 -23	  24	 -2.05628E+01	  2.13776E+01	  2.84655E+01	 -1.05221E+03	  1.09795E+03	 -1.33915E+03	  1.39708E+03	    27.256392%
 -23	  25	 -2.05628E+01	  2.21834E+01	  2.89894E+01	 -1.05221E+03	  1.14370E+03	 -1.35582E+03	  1.47371E+03	    28.854485%
 -22	 -25	 -1.97392E+01	 -2.21834E+01	  2.85089E+01	 -1.00646E+03	 -1.14370E+03	 -1.28228E+03	 -1.45742E+03	    27.418797%
